# Constructed from biom file
#OTU ID	P1850_2001	P1850_2002	P1850_2003	P1850_2004	P1850_2005	P1850_2006	P1850_2007	P1850_2008	P1850_2009	P1850_2010	P1850_2011	P1850_2012	P1850_2013	P1850_2014	P1850_2015	P1850_2016	P1850_2017	P1850_2018	P1850_2019	P1850_2020	P1850_2021	P1850_2022	P1850_2023	P1850_2024	P1850_2025	P1850_2026	P1850_2027	P1850_2028	P1850_2029	P1850_2030	P1850_2031	P1850_2032	P1850_2033	P1850_2034	P1850_2035	P1850_2036	P1850_2037	P1850_2038	P1850_2039	P1850_2040	P1850_2041	P1850_2042	P1850_2043	P1850_2044	P1850_2045	P1850_2046	P1850_2047	P1850_2048	P1850_2049	P1850_2050	P1850_2051	P1850_2052	P1850_2053	P1850_2054	P1850_2055	P1850_2056	P1850_2057	P1850_2058	P1850_2059	P1850_2060	P1850_2061	P1850_2062	P1850_2063	P1850_2064	P1850_2065	P1850_2066	P1850_2067	P1850_2068	P1850_2069	P1850_2070	P1850_2071	P1850_2072	P1850_2073	P1850_2074	P1850_2075	P1850_2076	P1850_2077	P1850_2078	P1850_2079	P1850_2080	P1850_2081	P1850_2082	P1850_2083	P1850_2084	P1850_2085	P1850_2086	P1850_2087	P1850_2088	P1850_2089	P1850_2090	P1850_2091	P1850_2092	P1850_2093	P1850_2094	P1850_2095	P1850_2096
ac4107604c179f2f8414333885255725	988.0	404.0	3214.0	8704.0	9817.0	2645.0	9521.0	869.0	5357.0	1158.0	10235.0	1553.0	105558.0	339471.0	9440.0	11355.0	767.0	2743.0	211.0	4590.0	1415.0	8188.0	11319.0	7189.0	18949.0	40164.0	6203.0	30036.0	6108.0	35798.0	986.0	657.0	3644.0	1758.0	4466.0	15129.0	90319.0	2607.0	15233.0	10140.0	492.0	763.0	323.0	23966.0	34966.0	1995.0	1142.0	529.0	5239.0	7459.0	2141.0	3834.0	2746.0	5130.0	123.0	3065.0	8318.0	9565.0	227600.0	26912.0	2278.0	6901.0	7458.0	39797.0	17558.0	12996.0	1266.0	6654.0	73279.0	75825.0	70844.0	63282.0	26612.0	50809.0	20113.0	38731.0	49550.0	91063.0	55599.0	7948.0	13756.0	72970.0	32204.0	9496.0	14895.0	4865.0	12263.0	13469.0	3383.0	1250.0	366.0	10147.0	140.0	31757.0	33389.0	8385.0
450ac381cbb4a6822befbcdb2ca20bae	898.0	1237.0	3129.0	71677.0	10967.0	1035.0	3197.0	396.0	2242.0	76.0	2997.0	609.0	5355.0	11708.0	330.0	235.0	565.0	752.0	103.0	555.0	452.0	1190.0	613.0	391.0	1334.0	2934.0	1310.0	2642.0	3107.0	2476.0	77.0	261.0	4973.0	765.0	34652.0	23547.0	36742.0	12039.0	8169.0	7105.0	393.0	461.0	148.0	16891.0	47366.0	4946.0	2578.0	357.0	7868.0	12994.0	40152.0	36338.0	24447.0	99382.0	70.0	23910.0	34039.0	40496.0	13756.0	7121.0	49950.0	38155.0	17647.0	38485.0	19066.0	47762.0	22869.0	14823.0	1541.0	1128.0	1465.0	2160.0	3791.0	1994.0	983.0	1362.0	2636.0	868.0	1958.0	2799.0	318.0	2497.0	2946.0	1769.0	2792.0	2909.0	1096.0	2040.0	564.0	113.0	125.0	1071.0	63.0	7919.0	8423.0	12790.0
1ead98754d34073a4606f7ff1e94126e	3267.0	946.0	8398.0	5971.0	1174.0	998.0	418.0	105.0	671.0	72.0	3658.0	3565.0	788.0	5337.0	1097.0	350.0	3467.0	3079.0	47.0	305.0	1517.0	3684.0	465.0	233.0	259.0	290.0	972.0	1906.0	6160.0	2588.0	54.0	169.0	4550.0	1208.0	10667.0	4995.0	318.0	2286.0	6053.0	9418.0	159.0	651.0	129.0	10115.0	2509.0	4776.0	3563.0	603.0	203.0	356.0	2070.0	6163.0	5737.0	11756.0	43.0	1141.0	4311.0	814.0	8717.0	4746.0	2854.0	2712.0	13924.0	5372.0	2228.0	6702.0	12656.0	3308.0	3700.0	2878.0	2074.0	637.0	556.0	1122.0	2418.0	914.0	1764.0	1678.0	1654.0	2889.0	881.0	877.0	1372.0	1605.0	2929.0	7157.0	11519.0	5674.0	2381.0	852.0	146.0	871.0	0.0	4049.0	2775.0	2870.0
40b37890b1b1fcdf0ece91f1da34c1ca	4568.0	1256.0	6907.0	5650.0	1503.0	2530.0	311.0	53.0	196.0	52.0	3232.0	2883.0	639.0	3626.0	1008.0	879.0	3617.0	3738.0	33.0	875.0	1921.0	6582.0	1539.0	1357.0	671.0	752.0	1646.0	3672.0	3007.0	4059.0	31.0	153.0	4534.0	1024.0	8112.0	5078.0	2414.0	1751.0	5467.0	7660.0	176.0	628.0	62.0	7192.0	3187.0	2999.0	5123.0	792.0	460.0	519.0	1763.0	4216.0	4566.0	8817.0	46.0	156.0	2587.0	139.0	315.0	3146.0	357.0	327.0	1105.0	864.0	176.0	1313.0	1273.0	582.0	499.0	708.0	379.0	159.0	1057.0	2665.0	2119.0	1554.0	2098.0	2117.0	1424.0	9057.0	2272.0	1989.0	2191.0	2219.0	4177.0	6535.0	13478.0	10370.0	1168.0	543.0	73.0	920.0	16.0	7414.0	7069.0	2903.0
887bc7033b46d960e893caceb711700b	847.0	378.0	15322.0	8883.0	1128.0	1161.0	150.0	91.0	328.0	17.0	7443.0	6721.0	105.0	3793.0	1805.0	67.0	6687.0	5886.0	29.0	59.0	3689.0	4696.0	459.0	77.0	54.0	0.0	15.0	114.0	7537.0	2206.0	6.0	266.0	5924.0	3937.0	407.0	452.0	43.0	328.0	835.0	12225.0	355.0	1822.0	86.0	13013.0	816.0	6727.0	3587.0	1894.0	82.0	92.0	4832.0	9801.0	14346.0	15357.0	12.0	37.0	4209.0	0.0	117.0	6377.0	38.0	48.0	26.0	32.0	0.0	2039.0	65.0	155.0	148.0	81.0	74.0	29.0	36.0	0.0	450.0	230.0	2885.0	465.0	1359.0	3116.0	64.0	155.0	915.0	8089.0	7291.0	9014.0	2938.0	2349.0	246.0	206.0	1138.0	279.0	8.0	1589.0	1951.0	3433.0
29f4ad6225de48b3d295e911657ccd5f	134.0	123.0	500.0	2505.0	2153.0	410.0	666.0	25.0	354.0	49.0	901.0	608.0	1229.0	8112.0	359.0	518.0	115.0	956.0	46.0	1137.0	160.0	2876.0	2769.0	1763.0	2586.0	2956.0	562.0	8505.0	686.0	1492.0	218.0	46.0	477.0	61.0	22266.0	3757.0	4952.0	1012.0	1715.0	922.0	41.0	71.0	28.0	2909.0	4048.0	526.0	1704.0	57.0	6859.0	4020.0	1856.0	873.0	373.0	516.0	10.0	236.0	394.0	134.0	423.0	1159.0	172.0	81.0	114.0	162.0	106.0	929.0	872.0	477.0	63.0	132.0	264.0	155.0	665.0	2300.0	790.0	1051.0	4177.0	1061.0	2382.0	5733.0	655.0	5295.0	4655.0	646.0	1092.0	337.0	211.0	867.0	162.0	17.0	47.0	103.0	0.0	2287.0	8141.0	6865.0
1b2c41577c16f4c672a2a861e6b89b14	202.0	63.0	2923.0	2049.0	252.0	227.0	28.0	16.0	80.0	0.0	2112.0	2030.0	445.0	1455.0	422.0	134.0	1622.0	1322.0	3.0	53.0	871.0	1156.0	217.0	104.0	569.0	168.0	7.0	1295.0	2106.0	1477.0	0.0	123.0	2100.0	956.0	2297.0	6060.0	54.0	1497.0	2237.0	3065.0	113.0	368.0	24.0	4749.0	1289.0	2524.0	813.0	726.0	28.0	167.0	673.0	2676.0	3163.0	4836.0	7.0	40.0	1294.0	24.0	172.0	1542.0	57.0	111.0	30.0	53.0	104.0	1111.0	132.0	1255.0	1076.0	553.0	429.0	265.0	341.0	226.0	322.0	409.0	1340.0	379.0	614.0	2248.0	179.0	1406.0	739.0	7112.0	7226.0	2512.0	3550.0	2631.0	712.0	271.0	697.0	564.0	0.0	3896.0	2581.0	2412.0
d99a98ce958f133d3ca3ac7498dcc402	19.0	0.0	0.0	65.0	17.0	12.0	33.0	36.0	30.0	62.0	0.0	70.0	227.0	390.0	98.0	454.0	17.0	580.0	83.0	2500.0	507.0	3869.0	6660.0	2681.0	8029.0	1154.0	1077.0	3186.0	1052.0	1171.0	161.0	0.0	169.0	141.0	61.0	26.0	2344.0	31.0	120.0	338.0	42.0	80.0	15.0	197.0	66.0	97.0	33.0	48.0	38.0	59.0	56.0	101.0	266.0	202.0	14.0	17.0	44.0	25.0	33.0	906.0	19.0	33.0	0.0	0.0	0.0	77.0	0.0	0.0	81.0	153.0	818.0	957.0	120.0	970.0	489.0	2176.0	9505.0	14455.0	1017.0	25.0	3769.0	13993.0	16605.0	1826.0	2619.0	146.0	270.0	1862.0	323.0	0.0	0.0	0.0	13.0	180.0	21.0	305.0
b9a924b9f65ece84b5528ab8d640a6e7	45.0	0.0	91.0	711.0	454.0	0.0	402.0	26.0	258.0	0.0	67.0	15.0	5858.0	53.0	13.0	57.0	0.0	35.0	8.0	0.0	28.0	64.0	129.0	109.0	5877.0	4294.0	543.0	4856.0	2971.0	16507.0	17.0	38.0	11666.0	25.0	1056.0	5024.0	1789.0	369.0	497.0	617.0	23.0	31.0	0.0	691.0	240.0	0.0	70.0	0.0	322.0	115.0	101.0	26.0	0.0	145.0	4.0	25.0	90.0	8.0	57.0	176.0	13.0	29.0	29.0	12.0	21.0	278.0	713.0	310.0	28.0	135.0	212.0	201.0	195.0	116.0	73.0	289.0	3620.0	317.0	595.0	1601.0	764.0	5346.0	3993.0	1047.0	1677.0	583.0	1822.0	1134.0	291.0	71.0	63.0	1691.0	0.0	5387.0	7704.0	2067.0
9be1e7976b23393a66cc2e9672ecc6c8	9.0	11.0	205.0	49.0	9.0	0.0	15.0	19.0	0.0	0.0	0.0	6.0	29.0	18.0	0.0	97.0	0.0	64.0	0.0	0.0	9.0	23.0	0.0	0.0	0.0	0.0	0.0	126.0	0.0	54.0	13.0	97.0	424.0	30.0	192.0	211.0	0.0	1665.0	6338.0	1654.0	22.0	621.0	12.0	2211.0	4004.0	208.0	185.0	54.0	966.0	1779.0	22.0	114.0	134.0	290.0	0.0	24.0	0.0	0.0	0.0	25.0	7.0	0.0	21.0	196.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.0	3.0	0.0	0.0	18.0	24.0	0.0	7.0	4811.0	0.0	0.0	5.0	32.0	58.0	0.0	35.0	49.0	26.0	10.0	37.0	244.0	27.0	854.0	2637.0	68774.0
